# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
     Dione 1.100000e+21 1.432627e+12 4.950747e+07 7.823843e-13 4.809077e+02 -5.567633e+02 1.448930e-16
    Tethys 6.170000e+20 1.432867e+12 -1.874116e+08 7.820891e-13 1.023033e+04 4.288684e+03 1.448365e-16
 Enceladus 1.080000e+20 1.432795e+12 1.710847e+08 7.820298e-13 -5.718570e+03 -1.828032e+03 1.448286e-16
     Mimas 3.750000e+19 1.432866e+12 -3.985262e+07 7.820533e-13 9.084259e+03 -2.587185e+03 1.448301e-16
   Miranda 6.590000e+19 2.877124e+12 5.967285e+07 9.294746e-14 -5.244050e+02 1.365670e+04 1.721294e-17
     Ariel 1.350000e+21 2.877180e+12 -9.501466e+06 9.294315e-14 1.772481e+03 1.213033e+04 1.721212e-17
   Umbriel 1.170000e+21 2.876852e+12 -1.709864e+08 9.297642e-14 3.883383e+03 4.190666e+03 1.721826e-17
   Titania 3.420000e+21 2.876937e+12 -3.820526e+08 9.296825e-14 3.604863e+03 6.272877e+03 1.721675e-17
    Oberon 3.000000e+21 2.877349e+12 5.156507e+08 9.292324e-14 -2.523687e+03 8.687228e+03 1.720848e-17
    Triton 2.140000e+22 4.502744e+12 -2.053352e+08 2.391740e-14 3.033585e+03 2.244827e+03 4.429221e-18
Asteroid_1 9.550021e+17 3.665410e+10 -3.160961e+10 8.598940e+08 3.420255e+04 3.966053e+04 -1.549077e+00

# Step 2, Time: 7.200000e+03 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.190859e+01 4.019538e-03 3.756822e-08 3.042859e-03 8.398630e-07 5.217849e-12
   Mercury 3.301000e+23 5.789692e+10 5.169899e+08 7.503145e-08 -4.276642e+02 4.786873e+04 1.043304e-11
     Venus 4.867000e+24 1.081991e+11 3.782153e+08 8.816175e-09 -1.224586e+02 3.501986e+04 1.226342e-12
     Earth 5.972000e+24 1.495995e+11 3.216216e+08 2.626057e-09 -6.386480e+01 2.977965e+04 3.651308e-13
